Name_en,Id,Const,Name_zh_hk
Acamar,q,Eri,天園六
Achernar,a,Eri,水委一
Achird,h,Cas,王良三
Acrab,b,Sco,房宿四
Acrux,a,Cru,十字架二
Acubens,a,Cnc,柳宿增三
Adara,e,CMa,弧矢七
Adhafera,z,Leo,軒轅十一
Adhara,e,CMa,弧矢七
Adhil,n,And,奎宿七
Agena,b,Cen,馬腹一
Ain,e,Tau,畢宿一
Ain al Rami,m1,Sgr,斗宿三
Ak,a,UMa,"天樞 , 北斗一"
Al Anchat al Nahr,t2,Eri,天苑九
Al Anf,e,Peg,危宿三
Al Anz,e,Aur,柱一(畢宿)
Al Athfar,m,Lyr,織女增三
Al Atik,o,Per,卷舌增七
Al Baldah,p,Sgr,建三
Al Bali,e,Aqr,女宿一
Al Chiba,a,Crv,右轄
Al Dhanab,b,Gru,鶴二
Al Dhanab,g,Gru,敗臼一
Al Dhiba,i,Dra,"左樞 , 紫微左垣一"
Al Dhihi,i,Dra,"左樞 , 紫微左垣一"
Al Dibah,z,Dra,"上弼 , 紫微左垣四"
Al Gieba,g,Leo,軒轅十二
Al Giedi,a2,Cap,牛宿二
Al Hammam,z,Peg,雷電一
Al Kaff al Jidmah,g,Cet,天囷八
Al Kalb al Asad,a,Leo,軒轅十四
Al Kalb al Rai,r,Cep,芻藁一
Al Kaphrah,c,UMa,太陽守
Al Kirduh,x,Cep,天鉤六
Al Mankib,a,Ori,參宿四
Al Minliar al Asad,k,Leo,軒轅七
Al Minliar al Ghurab,a,Crv,右轄
Al Minliar al Shuja,s,Hya,柳宿二
Al Mizar,b,And,奎宿九
Al Na'ir,a,Gru,鶴一
Al Nair,a,Gru,鶴一
Al Nasl,g,Sgr,箕宿一
Al Nath,g,Dra,天棓四
Al Niyat,s,Sco,心宿一
Al Niyat,t,Sco,心宿三
Al Rakis,n,Dra,天棓二
Al Rescha,a,Psc,外屏七
Al Richa,a,Psc,外屏七
Al Rijil,a,Cen,南門二
Al Rischa,a,Psc,外屏七
Al Rukbah al Dajajah,w2,Cyg,天津增三十四
Al Sanam al Nakah,b,Cas,王良一
Al Sheratain,b,Ari,婁宿一
Al Suhail al Muhlif,g,Vel,天社一
Al Suhail al Wazn,l,Vel,天記
Al Tarf,b,Cnc,柳宿增十
Al Tinnin,a,Dra,"右樞 , 紫微右垣一"
Aladfar,h,Lyr,輦道二
Aladfar,m,Lyr,織女增三
Alamak,g,And,天大將軍一
Alanf,e,Peg,危宿三
Alanz,e,Aur,柱一(畢宿)
Alaraph,a,Vir,角宿一
Alaraph,b,Vir,"右執法 , 太微右垣一"
Alaraph,e,Vir,"東次將 , 太微左垣四"
Alascha,l,Sco,尾宿八
Alasco,h,UMi,勾陳增九
